title,link,date,name,parent,companyAbout
Harris’ US Healthcare group acquires Iatric Systems Inc.,https://www.harriscomputer.com/news/en/ma-resourcesiatricsystems,,Iatric Systems Inc,Harris,
"Harris’ US Healthcare group acquires PsyTech Solutions, Inc.",https://www.harriscomputer.com/news/en/ma-resourcespsytechsolutions,,"PsyTech Solutions, Inc",Harris,
Harris Local Government Division Acquires S&W MiniComputers Inc.,https://www.harriscomputer.com/news/en/ma-resourcessandw,,S&W MiniComputers Inc,Harris,
Harris Local Government Division Acquires The Sidwell Company,https://www.harriscomputer.com/news/en/ma-resourcessidwell,,The Sidwell Company,Harris,
Harris’ Public Sector Group acquires Trancite Logic Systems,https://www.harriscomputer.com/news/en/ma-resourcestrancite,,Trancite Logic Systems,Harris,
Harris’ Local Government Division Acquires IMS Enterprises Inc.,https://www.harriscomputer.com/news/en/ma-resourcesimsei,,,Harris,
Harris School Solutions Acquires Castle Learning,https://www.harriscomputer.com/news/en/ma-resourcescastlelearning,,"Castle Software, Inc (Castle Learning),",Harris,
Harris Healthcare acquires Practice Management software Pulse Systems,https://www.harriscomputer.com/news/en/ma-resourcespulsesystems,,"Pulse Systems, Inc",Harris,
"Harris Healthcare Acquires Connecture, Inc.",https://www.harriscomputer.com/news/en/ma-resourcesconnecture,,"Connecture, Inc",Harris,
Harris Healthcare Group Acquires First Pacific Corporation,https://www.harriscomputer.com/news/en/ma-resourcesfirstpacific,,First Pacific Corporation,Harris,
mquadr.at is now part of the Harris group,https://www.harriscomputer.com/news/en/ma-resourcesmquadr.at,,mquadr.at software engineering & consulting GmbH,Harris,
Harris Acquires BobCAD CAM Inc.,https://www.harriscomputer.com/news/en/ma-resourcesbobcadcam,,BobCAD CAM Inc,Harris,
Harris Acquires Thomson Reuters Tax & Accounting Professionals Government Business,https://www.harriscomputer.com/news/en/ma-resourcesthomsonreuters,,Tax & Accounting Professionals Government business from Thomson Reuters,Harris,
ACCEO Solutions Inc. of Harris Computer acquires La Solution INT,https://www.harriscomputer.com/news/en/ma-resourceslasolutionint,,Informatique Nouvelle Technologie Inc,Harris,
Harris Healthcare Group Acquires Doc-Tor.com,https://www.harriscomputer.com/news/en/ma-resourcesdoc-tor,,Doc-Tor.Com L.L.C,Harris,
"ACCEO Solutions Inc. acquires Informatique Côté, Coulombe Inc.",https://www.harriscomputer.com/news/en/ma-resourcesicctechnologies,,"Informatique Côté, Coulombe Inc",Acceo,
Harris announces the launch of Aumentum Technologies,https://www.harriscomputer.com/news/en/ma-resourcesaumentum,,Thomson Reuters,Harris,
Harris grows education vertical with acquisition of eDoctrina,https://www.harriscomputer.com/news/en/ma-resourcesedoctrina,,eDoctrina Corporation,Harris,
Harris expands its utilities portfolio with acquisition of SilverBlaze,https://www.harriscomputer.com/news/en/ma-resourcessilverblaze,,"SilverBlaze Solutions Inc.(SilverBlaze),",Harris,
Harris acquires TCSC (Forensic Advantage Systems),https://www.harriscomputer.com/news/en/ma-resourcestcsc,,"The Computer Solution Company of Virginia, LLC (TCSC) from Cherry Bekaert LLP",Harris,
Harris acquires Everwin SAS | Harris acquiert Everwin SAS,https://www.harriscomputer.com/news/en/ma-resourceseverwin,,"Everwin SAS (Everwin),",Harris,
Harris adds to Healthcare portfolio with acquisition of SourceGroup,https://www.harriscomputer.com/news/en/ma-resourcessourcegroup,,"SourceGroup CBO, L.L.C (SourceGroup),",Harris,
Harris moves into Australia with acquisition of Meridian Health Informatics,https://www.harriscomputer.com/news/en/ma-resourcesmeridianhi,,Meridian Health Informatics Pty Ltd,Harris,
Harris acquires maternity ward software provider K2 Medical Systems,https://www.harriscomputer.com/news/en/ma-resourcesk2medical,,K2 Medical Systems Holdings Limited,Harris,
Harris acquires UK-based Commerce Decisions,https://www.harriscomputer.com/news/en/ma-resourcescommercedecisions,,Commerce Decisions,Harris,
Harris acquires UK-based Genial Genetics and Genial Compliance Systems,https://www.harriscomputer.com/news/en/newsdate1605243600articleharris-grows-uk-presence-with-the-acquisition-of-genial-genetics-and-genial-compliance-systems,,Genial Genetics and Genial Compliance Systems,Harris,
Harris builds its perinatal portfolio with the acquisition of OBIX,https://www.harriscomputer.com/news/en/newsdate1609909200articleharris-builds-its-perinatal-portfolio-with-the-acquisition-of-clinical-computer-systems-inc-,,"Clinical Computer Systems, Inc. (CCSI),",Harris,
PG Solutions acquires Lateral Innovations Inc.,https://www.harriscomputer.com/news/en/newsdate1609995600articlepg-solutions-expands-with-the-acquisition-of-lateral-innovations-inc-pg-solutions-prend-de-l-039-expansion-avec-l-039-acquisition-de-lateral-i,,,,
Harris acquires Eagle Advantage Solutions Inc.,https://www.harriscomputer.com/news/en/newsdate1611032400articleharris-adds-to-its-public-sector-portfolio-with-the-acquisition-of-eagle-advantage-solutions-inc-,,"Eagle Advantage Solutions Inc. (EAS),",Harris,
Harris acquires US-based healthcare software provider Bizmatics Inc.,https://www.harriscomputer.com/news/en/newsdate1614834000articleharris-acquires-us-based-healthcare-software-provider-bizmatics-inc-,,Bizmatics Inc,Harris,
"Harris acquires Realtime Information Technology, Inc.",https://www.harriscomputer.com/news/en/newsdate1615953600articleharris-adds-to-its-education-portfolio-with-the-acquisition-of-realtime-information-technology-inc-,,"Realtime Information Technology, Inc. (Realtime),",Harris,
Harris acquires Vital Communications Inc.,https://www.harriscomputer.com/news/en/newsdate1616040000articleharris-expands-tax-and-appraisal-software-offerings-with-the-acquisition-of-vital-communications-inc-,,Vital Communications Inc. (Vital).,Harris,
Harris and Field Effect partner to protect customers worldwide from cyber threats,https://www.harriscomputer.com/news/en/newsdate1616644800articleharris-and-field-effect-partner-to-protect-customers-worldwide-from-cyber-threats,,,Harris,
MediSolution acquires Intégration Santé | MédiSolution acquiert Intégration Santé,https://www.harriscomputer.com/news/en/newsdate1617854400articlemedisolution-acquires-quebec-based-integration-sante-medisolution-acquiert-la-societe-quebecoise-integration-sante,,Intégration Santé,MediSolution Ltd,
"Harris acquires revenue cycle management solution Medi-Serv, Inc.",https://www.harriscomputer.com/news/en/newsdate1617940800articleharris-strengthens-the-healthcare-group-039-s-revenue-cycle-management-solution-with-the-acquisition-of-medi-serv-inc-,,"Medi-Serv, Inc",Harris,
"Harris acquires eScholar, a US-based data analytics software provider",https://www.harriscomputer.com/news/en/newsdate1620360000articleharris-expands-its-education-portfolio-with-the-acquisition-of-escholar-a-us-based-data-analytics-software-provider,,eScholar LLC,Harris,
Harris adds patient engagement solutions with the acquisition of ER Express,https://www.harriscomputer.com/news/en/newsdate1621396800articleharris-adds-patient-engagement-solutions-with-the-acquisition-of-er-express,,ER Express,Harris,
Harris acquires the Consumer Analytics Solutions business from Aclara,https://www.harriscomputer.com/news/en/newsdate1623297600articleharris-enters-the-energy-conservation-software-sector-with-the-acquisition-of-the-consumer-analytics-solutions-business-from-aclara,,,Harris,
Harris acquires US-based healthcare SaaS provider Ingenious Med,https://www.harriscomputer.com/news/en/newsdate1624939200articleharris-acquires-us-based-healthcare-saas-provider-ingenious-med,,"Ingenious Med, Inc. (Ingenious Med).",Harris,
Harris acquires ADL Data Systems,https://www.harriscomputer.com/news/en/newsdate1626062400articleharris-acquires-adl-data-systems-a-long-term-and-post-acute-care-software-solutions-provider,,ADL Data Systems,Harris,
Harris acquires utility construction software provider CRP,https://www.harriscomputer.com/news/en/newsdate1626840000articleharris-grows-in-germany-with-the-acquisition-of-utility-construction-software-provider-crp,,CRP Informationssysteme GmbH,Harris,
Harris acquires Quebec-based recruitment platform Jobillico,https://www.harriscomputer.com/news/en/newsdate1628740800articleharris-enters-the-online-recruitment-solutions-market-through-its-acquisition-of-the-quebec-based-platform-jobillico,,,Harris,
"Everwin, a business unit of Harris, announced its acquisition of SIGMA",https://www.harriscomputer.com/news/en/newsdate1628827200articleeverwin-continues-its-expansion-and-bolsters-harris-039-strategy-with-its-acquisition-of-sigma,,,Harris,
"Harris acquires “Solutions”, Inc.",https://www.harriscomputer.com/news/en/newsdate1632110400articleharris-grows-into-iowa-state-with-its-acquisition-of-financial-management-software-provider-ldquo-solutions-rdquo-inc-,,"Solutions”, Inc. (Solutions).",Harris,
Harris acquires Innovative Healthcare,https://www.harriscomputer.com/news/en/newsdate1632283200articleharris-acquires-innovative-healthcare-rsquo-s-revenue-cycle-management-software-business,,,Harris,
Harris through one of its subsidiaries acquires Juris Concept,https://www.harriscomputer.com/news/en/newsdate1634011200articleharris-through-one-of-its-subsidiaries-acquires-juris-concept-039-s-legal-management-software-business,,Juris Concept,Harris,
Harris acquires apprenticeship EdTech software provider Onefile,https://www.harriscomputer.com/news/en/newsdate1635825600articleharris-acquires-apprenticeship-edtech-software-provider-onefile,,,Harris,
Harris acquires Globys,https://www.harriscomputer.com/news/en/newsdate1635998400articleharris-adds-industry-leading-telecommunication-solutions-to-its-portfolio-with-the-acquisition-of-globys,,"Globys, Inc. (Globys).",Harris,
Harris acquires GOLO Inc. and Walter Innovations Inc. (UseWalter),https://www.harriscomputer.com/news/en/newsdate1637730000articleharris-acquires-montreal-based-property-management-software-provider-golo-inc-and-walter-innovations-inc-usewalter-,,GOLO Inc. and Walter Innovations Inc,Harris,
"Harris acquires Computer Arts, Inc.",https://www.harriscomputer.com/news/en/newsdate1637816400articleharris-widens-local-government-offerings-with-the-acquisition-of-computer-arts-inc-,,,Harris,
Harris acquires Dynamic Imaging Systems Inc.,https://www.harriscomputer.com/news/en/newsdate1638162000articleharris-enhances-its-public-safety-portfolio-with-the-acquisition-of-dynamic-imaging-systems-inc-,,,Harris,
Harris acquires i2 product portfolio from IBM,https://www.harriscomputer.com/news/en/newsdate1641272400articleharris-acquires-i2-product-portfolio-from-ibm,,an excellent international team of experts,Harris,
Harris Acquires Allscripts' Hospitals and Large Physician Practices Business Segment,https://www.harriscomputer.com/news/en/ma-resourcesallscripts,,"Which company was acquired?Toronto, Canada, March 2, 2022 — Constellation Software Inc. (“Constellation”) (TSX:CSU) announced today that it has, through its wholly-owned subsidiary, N. Harris Computer Corporation (“Harris”), completed an agreement with Allscripts Healthcare Solutions",Harris,
Harris acquires Israel-based 2Team Computers LTD,https://www.harriscomputer.com/news/en/ma-resources2team,,2Team Computers Ltd,Harris,
"Harris acquires Groupe PG, a forest industry software solutions provider",https://www.harriscomputer.com/news/en/ma-resourcesgroupepg,,,Harris,
Harris acquires Quebec-based UNICOM,https://www.harriscomputer.com/news/en/ma-resourcesunicom,,UNICOM,Harris,
Harris creates France group,https://www.harriscomputer.com/news/en/ma-resourcesharrisfrance,,,Harris,
Everwin acquires Ventya,https://www.harriscomputer.com/news/en/ma-resourcesventya,,Ventya,,
Everwin acquires Global P.O.S,https://www.harriscomputer.com/news/en/ma-resourcesglobalpos,,,,
Harris Completes Purchase of Allscripts Hospitals and Large Physician Practices Business Segment,https://www.harriscomputer.com/news/en/ma-resourcesallscriptscomplete,,Allscripts Healthcare Solutions,Harris,
Harris Acquires ICO Technologies Inc.,https://www.harriscomputer.com/news/en/ma-resourcesicotechnologies,,,Harris,
Harris Acquires campus retail software provider PrismRBS LLC,https://www.harriscomputer.com/news/en/ma-resourcesprismrbs,,,Harris,
Harris expands in California with the acquisitions of Innovative Medical Management and MedBill IQ,https://www.harriscomputer.com/news/en/ma-resourcesimmmedbilliq,,,Harris,
Harris continues healthcare growth with acquisition of Sedona Learning Solutions,https://www.harriscomputer.com/news/en/ma-resourcessedonalearning,,Sedona Learning Solutions,Harris,
Harris adds school nutrition solutions with its acquisition of The CLM Group,https://www.harriscomputer.com/news/en/ma-resourcesclmgroup,,"The CLM Group, Inc. (doing business as MealTime",Harris,
Harris acquires Australian maternity healthcare software provider MCATS,https://www.harriscomputer.com/news/en/ma-resourcesmcats,,Management Consultants and Technology Services Pty Ltd,Harris,
PG Solutions acquires Manitou from Momentum Technologies,https://www.harriscomputer.com/news/en/ma-resourcesmanitou,,,,
Medisolution acquires the assets of Qualicode,https://www.harriscomputer.com/news/en/ma-resourcesqualicode,,,MediSolution Ltd,
Harris grows its portfolio in the D-A-CH region with the acquisition of AixConcept,https://www.harriscomputer.com/news/en/ma-resourcesaixconcept,,,Harris,
Harris enters the Insurance Agency Management vertical with its acquisition of Agency Software,https://www.harriscomputer.com/news/en/ma-resourcesagencysoftware,,"Agency Software, Inc. (ASI).",Harris,
Harris' i2 Group extends analytics capabilities with acquisition of Rosoka,https://www.harriscomputer.com/news/en/ma-resourcesrosoka,,,Harris,
Harris acquires Offender360 solution from DXC Technology Company,https://www.harriscomputer.com/news/en/ma-resourcesoffender360,,,Harris,
ACCEO acquires Transportation Compliance Services Inc.,https://www.harriscomputer.com/news/en/ma-resourcestransportationcompliance,,Transportation Compliance Services Inc,Acceo,
Harris Adelante establishes Costa Rican Operations,https://www.harriscomputer.com/news/en/ma-resourcesharrisadelante,,,Harris,
Harris adds to its public sector portfolio with the acquisition of Cushing Systems,https://www.harriscomputer.com/news/en/ma-resourcescushingsystems,,"Cushing Systems Inc. (CSi),",Harris,
"Harris acquires AirVM, a Private Cloud Infrastructure as a Service (IaaS) provider",https://www.harriscomputer.com/news/en/ma-resourceshyalto,,AirVM Inc. (doing business as HyAlto).,Harris,
"Harris Acquires VLN Partners, a Technology-enhanced Education Services Provider in the Public Sector, Schools Space.",https://www.harriscomputer.com/news/en/ma-resourcesvlnpartners,,VLN Partners,Harris,
Harris Acquires Rialtas Business Solutions,https://www.harriscomputer.com/news/en/ma-resourcesrialtas,,Rialtas Business Solutions Limited,Harris,
Harris Acquires Mid America Computer Corporation and EnSite Incorporated,https://www.harriscomputer.com/news/en/ma-resourcesmaccensite,,,Harris,
Harris Acquires Capitol Appraisal Group,https://www.harriscomputer.com/news/en/ma-resourcescapitolappraisal,,,Harris,
Harris France acquires AzurSoft,https://www.harriscomputer.com/news/en/ma-resourcesazursoft,,AzurSoft,Harris,
Harris acquires Ternity Group,https://www.harriscomputer.com/news/en/ma-resourcesternitygroup,,Ternity Group Pty Ltd,Harris,
"Harris acquires Service-Link, a software provider in the utilities space",https://www.harriscomputer.com/news/en/ma-resourcesservicelink,,Service-Link,Harris,
Harris acquires Systèmes Informatiques Unik Inc.,https://www.harriscomputer.com/news/en/ma-resourcessiunik,,Systèmes Informatiques UNIK Inc,Harris,
ACCEO acquires SnapX Technology Inc.,https://www.harriscomputer.com/news/en/ma-resourcessnapx,,,Acceo,
Constellation Software Inc. Acquires Schoolhouse Software Inc.,https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-software-inc.-acquires-schoolhouse-software-inc,2008-03-10T00:00:00,"Schoolhouse Software, Inc",Harris,
Constellation Software Inc. Acquires 2K Technology Group Ltd.,https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-software-inc.-acquires-2k-technology-group-ltd,2008-04-04T00:00:00,2K Technology Group Ltd,Constellation Software,
Constellation Software Inc. Acquires System Innovators Inc.,https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-software-inc.-acquires-system-innovators-inc,2008-04-04T00:00:00,System Innovators Inc,Harris,
"Constellation Software Inc. Acquires Gulf Coast Software, Inc.",https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-software-inc.-acquires-gulf-coast-software-inc,2008-06-01T00:00:00,"Gulf Coast Software, Inc. dba Vertical Market Software Inc.",Jonas Software,
Constellation Software Inc. Acquires the Assets of the Vintage Consulting Group,https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-software-inc.-acquires-the-assets-of-the-vintage-consulting-group,2008-06-03T00:00:00,Vintage Consulting Group,Constellation Software,
Constellation Software Inc. Acquires Solutions by Computer Inc.,https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-software-inc.-acquires-solutions-by-computer-inc,2008-06-12T00:00:00,"Solutions by Computer Inc. (“Solutions”),",Constellation Software,
Constellation Software Inc. Acquires the Assets of the Carbiz Software business from Carbiz Inc.,https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-software-inc.-acquires-the-assets-of-the-carbiz-software-business-from-carbiz-inc,2008-07-01T00:00:00,Carbiz Inc,Constellation Software,"Based in Sarasota, Florida, CarBiz owns and operates the nation’s fourth-largest chain of “buy- here pay-here” dealerships through its CarBiz Auto Credit division, with 26 dealerships in eight states. The company is also a leading provider of training and consulting solutions to the United States automotive industry. For more information about CarBiz and its services, visit CarBiz’s web site: www.CarBiz.com.  July 2nd 2008"
Constellation Software Inc. Finalizes Acquisition of Municipal Software Corporation,https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-software-inc.-finalizes-acquisition-of-municipal-software-corporation,2008-07-17T00:00:00,Municipal Solutions Group,Harris,
"Constellation Software Inc. Finalizes Acquisition of MAXIMUS’ Justice, Education and Asset Solutions Businesses",https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-software-inc.-finalizes-acquisition-of-maximus-justice-education-and-asset-solutions-businesses,2008-09-29T00:00:00,MAXIMUS,Constellation Software,"MAXIMUS is one of America’s leading government services companies devoted to providing program management, consulting and information technology services. The Company has more than 6,000 employees located in more than 220 offices in the United States, Canada and Australia. Additionally, MAXIMUS is included in the Russell 2000 Index and the S&P SmallCap 600 Index.  September 30th 2008"
Constellation Software Inc. Acquires Food Service Assets of Superior School Supplies Inc.,https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-software-inc.-acquires-food-service-assets-of-superior-school-supplies-inc,2008-12-16T00:00:00,Superior School Supplies,Harris,
Constellation Software Inc. Acquires Global Software Corporation,https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-software-inc.-acquires-global-software-corporation,2009-01-13T00:00:00,Global Software Corporation,Harris,
"Constellation Software Inc. Acquires Common CENTS® Solutions, Inc.",https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-software-inc.-acquires-common-cents-solutions-inc,2009-04-01T00:00:00,"Common CENTS Solutions, Inc",Constellation Software,"Computrition, Inc. is the leading provider of fully integrated foodservice and nutrition management software systems in the hospitality and healthcare industries. With customers throughout the USA, Canada, and worldwide, Computrition provides an all-encompassing software system designed to increase efficiency and productivity in the healthcare, hospitality, university, school foodservice, military and corrections industries. Staffed by dietitians, foodservice directors, chefs, business & service professionals and certified technical specialists, Computrition possesses the expertise necessary to deliver the highest quality products and services with a focus on customer satisfaction, employee fulfillment, and profitability. www.computrition.com"
"CONSTELLATION SOFTWARE, INC., ACQUIRES THE ENTERPRISE AND THE HOMEBUILDER WEB DEVELOPMENT GROUP ASSETS FROM MOVE, INC.",https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-software-inc.-acquires-the-enterprise-and-the-homebuilder-web-development-group-assets-from-move-inc,2009-09-04T00:00:00,the Enterprise and the Homebuilder Web Development Group,Constellation Software,"Move, Inc. (NASDAQ:MOVE) is the leader in online real estate with 8.3 million(1) monthly visitors to its online network of websites. Move, Inc. operates: Move.com®, a leading destination for information on new homes and rental listings, moving, home and garden and home finance; REALTOR.com®, the official Web site of the National Association of REALTORS®; Moving.com; SeniorHousingNet.comTM; and Top Producer® Systems. Move, Inc. is based in Westlake Village, California.  August 4th 2009"
Constellation Software Inc. Acquires Integrated Dealer Systems from Brunswick Corporation,https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-software-inc.-acquires-integrated-dealer-systems-from-brunswick-corporation,2009-08-05T00:00:00,Integrated Dealer Systems,Constellation Software,"Headquartered in Lake Forest, Ill., Brunswick Corporation endeavors to instill “Genuine Ingenuity”(TM) in all its leading consumer brands, including Mercury and Mariner outboard engines; Mercury MerCruiser sterndrives and inboard engines; MotorGuide trolling motors; Attwood marine parts and accessories; Land ‘N’ Sea, Kellogg Marine, Diversified Marine and Benrock parts and accessories distributors; Arvor, Bayliner, Bermuda, Boston Whaler, Cabo Yachts, Crestliner, Cypress Cay, Harris, Hatteras, Kayot, Lowe, Lund, Maxum, Meridian, Ornvik, Princecraft, Quicksilver, Rayglass, Sea Ray, Sealine, Triton, Trophy, Uttern and Valiant boats; Life Fitness and Hammer Strength fitness equipment; Brunswick bowling centers, equipment and consumer products; Brunswick billiards tables and foosball tables. For more information, visit https://www.brunswick.com.  August 5th 2009"
Constellation Software Inc. Acquisition of Compusource,https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-software-inc.-acquisition-of-compusource,2009-08-07T00:00:00,Compusource Corporation,Jonas Software,"Founded in 1971, Compusource has evolved into a leading developer and marketer of application software, computer equipment, and training/support programs for the Moving & Storage, Metal Center and Construction industries. In partnership with their customers Compusource has achieved success through a central focus is on building long-term mutually beneficial relationships. Headquartered in La Palma, CA, with an Eastern Regional Office in Norcross, GA and a Southwestern Regional Office in Carrollton, TX., Compusource employs trained professionals that provide prompt and comprehensive support to clients throughout North America."
Constellation Acquires Medisolution’s Resource Management Business,https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-acquires-medisolution-s-resource-management-business,2009-09-03T00:00:00,MediSolution Ltd,Harris,
Constellation Software Inc. Acquires the Business Assets of EZ Facility.com Inc.,https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-software-inc.-acquires-the-business-assets-of-ez-facility.com-inc,2009-09-29T00:00:00,EZ Facility.com Inc,Jonas Software,
Constellation Extends Closing Date of Acquisition of Public Transit Solutions Segment from Continental AG,https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-extends-closing-date-of-acquisition-of-public-transit-solutions-segment-from-continental-ag,2009-10-29T00:00:00,Continental Automotive AG,Trapeze Group,"Continental – Public Transit Solutions is a leading global provider of solutions for public urban passenger transport. The company offers public transport authorities extensive operating and information systems which enhance punctuality, reduce travel times, increase the precision of connections, and provide dynamic passenger information. Internationally present, the company develops, produces, and integrates high-quality operation control systems, on-board computers, passenger information displays, and customized services in close cooperation with its customers. Continental Automotive Switzerland AG is a member of the Continental Group, a leading global vendor to the automotive industry. More information on the company can be found at https://www.public-transit-solutions.com.   September 30th 2009"
Constellation Software Inc. Completes Acquisition of Public Transit Solutions Segment from Continental AG,https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-software-inc.-completes-acquisition-of-public-transit-solutions-segment-from-continental-ag,2009-11-01T00:00:00,Continental Automotive AG,Trapeze Group,"Continental – Public Transit Solutions is a leading global provider of solutions for public urban passenger transport. The company offers public transport authorities extensive operating and information systems which enhance punctuality, reduce travel times, increase the precision of connections, and provide dynamic passenger information. Internationally present, the company develops, produces, and integrates high-quality operation control systems, on-board computers, passenger information displays, and customized services in close cooperation with its customers. Continental Automotive Switzerland AG is a member of the Continental Group, a leading global vendor to the automotive industry. More information on the company can be found at https://www.public-transit-solutions.com.  November 2nd 2009"
Constellation Acquires Tailored Business Systems,https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-acquires-tailored-business-systems,2012-12-06T00:00:00,Tailored Business Systems,Harris,
Constellation Acquires SDS Software,https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-acquires-sds-software,2010-01-25T00:00:00,SDS Software,Harris,"SDS is a leading provider of software and services for K-12 education. Each of our products is designed and developed exclusively for Canadian school districts. We help our clients continuously improve the administration and management of their organizations by providing exceptional quality software and customer service. SDS Software is based in Vancouver, BC and services education clients across Canada. For further information on SDS, please visit our website at https://www.sdssoftware.com, or call 888-737.4900  January 25th 2010"
Constellation Software Inc. Acquires Centaman Holdings Pty Ltd,https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-software-inc.-acquires-centaman-holdings-pty-ltd,2010-02-17T00:00:00,Centaman Holdings Pty Ltd. (“Centaman”),Jonas Software,
"Constellation Software Inc. Acquires the Shares of TietoEnator Majiq, Inc. (Majiq) from Tieto Oyj’s US Subsidiary Tieto USA",https://www.csisoftware.com/category/press-releases/2019/01/09/constellation-software-inc.-acquires-the-shares-of-tietoenator-majiq-inc.-(majiq)-from-tieto-oyj-s-us-subsidiary-tieto-usa,2010-03-09T00:00:00,TietoEnator Majiq,Constellation Software,"Tieto is an IT service company providing IT, R&D and consulting services. With approximately 16,000 experts, Tieto is among the leading IT service companies in Northern Europe and the global leader in selected segments. Tieto specializes in areas where they have the deepest understanding of their customers’ businesses and needs. Tieto’s superior customer centricity and Nordic expertise set them apart from their competitors.(www.tieto.com)  March 9th 2010"
Constellation Software Acquires InCircuit Development Corporation,https://www.csisoftware.com/category/press-releases/2019/01/21/constellation-software-acquires-incircuit-development-corporation,2010-05-06T00:00:00,InCircuit Development Corporation,Trapeze Group,
Constellation Software Acquires Auriga Communication Systems Ltd.,https://www.csisoftware.com/category/press-releases/2019/01/21/constellation-software-acquires-auriga-communication-systems-ltd,2010-06-02T00:00:00,Auriga Communication Systems Ltd.,Trapeze Group,
Constellation Software Acquires BMS Computer Solutions,https://www.csisoftware.com/category/press-releases/2019/01/21/constellation-software-acquires-bms-computer-solutions,2010-06-22T00:00:00,BMS Computer Solutions,Constellation Software,
Constellation Acquires Cogsdale,https://www.csisoftware.com/category/press-releases/2019/01/21/constellation-acquires-cogsdale,2010-10-01T00:00:00,Cogsdale group of companies,Harris,
